index,sending_time,recv_time,inference_time
0,1743770107.4469717,1743770107.5048351,0
1,1743770107.5048728,1743770107.5136054,0
2,1743770107.5136328,1743770107.5216646,0
3,1743770107.5217042,1743770107.529984,0
4,1743770107.5300105,1743770107.5378299,0
5,1743770107.537855,1743770107.5459864,0
6,1743770107.546011,1743770107.5537815,0
7,1743770107.5538056,1743770107.5617764,0
8,1743770107.5618043,1743770107.5698647,0
9,1743770107.5698931,1743770107.57803,0
10,1743770107.5780537,1743770107.5861857,0
11,1743770107.5862393,1743770107.59465,0
12,1743770107.5947022,1743770107.6025531,0
13,1743770107.6025746,1743770107.6104555,0
14,1743770107.610477,1743770107.6190674,0
15,1743770107.61912,1743770107.6269534,0
16,1743770107.6270103,1743770107.634791,0
17,1743770107.6348472,1743770107.642963,0
18,1743770107.643053,1743770107.6509433,0
19,1743770107.6510353,1743770107.6592362,0
20,1743770107.6593277,1743770107.6675303,0
21,1743770107.667622,1743770107.675818,0
22,1743770107.6759076,1743770107.6840465,0
23,1743770107.6841366,1743770107.692308,0
24,1743770107.692397,1743770107.7002892,0
25,1743770107.7003713,1743770107.7083113,0
26,1743770107.708392,1743770107.7166383,0
27,1743770107.7167282,1743770107.7249517,0
28,1743770107.725047,1743770107.7332432,0
29,1743770107.7333348,1743770107.7413425,0
30,1743770107.7414339,1743770107.749755,0
31,1743770107.7498868,1743770107.7582736,0
32,1743770107.7583628,1743770107.766588,0
33,1743770107.7667248,1743770107.7748916,0
34,1743770107.774979,1743770107.7829077,0
35,1743770107.7829947,1743770107.791033,0
36,1743770107.7911239,1743770107.7993593,0
37,1743770107.7994492,1743770107.8077197,0
38,1743770107.807814,1743770107.8164525,0
39,1743770107.816544,1743770107.8246775,0
40,1743770107.8247666,1743770107.8338616,0
41,1743770107.8339846,1743770107.8426008,0
42,1743770107.842705,1743770107.850872,0
43,1743770107.8509262,1743770107.858459,0
44,1743770107.8584993,1743770107.8664272,0
45,1743770107.8665226,1743770107.8742533,0
46,1743770107.8743553,1743770107.882418,0
47,1743770107.8825116,1743770107.8905451,0
48,1743770107.8906484,1743770107.8985474,0
49,1743770107.8986468,1743770107.9065526,0
